# AGENT 框架核心 skill 清单
# 格式：<skill名> | <耦合等级> | <备注>
# 耦合等级：none=框架无关 / light=轻耦合(改可插拔处) / env=环境硬编码 / hardcode=owner硬编码

agent-workflow-orchestration | light | subagent/session_query/board_*/skillmgr_* 等 DSH 工具名
skill-lifecycle-manager | none | 框架无关，具体工具操作委托给对应 skill
skill-evaluator | light | skillmgr_get 读取 skill 全文
skill-optimizer | light | skillmgr_get 读取 skill 全文
open-source-scout | none | 框架无关
secret-scan | hardcode | owner hpsks416 硬编码（SKILL.md + 脚本）
secure-push-workflow | none | 编排逻辑框架无关
github-ready-packager | none | 框架无关
acp-studio | env | proxy 7897 + sslBackend + owner + GITEE_* 凭据（环境硬编码）
resume-conversation-full | light | 正文已框架无关，会话源在 conversation-sources 注册表（可插拔）
resume-conversation-brief | light | 正文已框架无关，会话源在 conversation-sources 注册表（可插拔）
migrate-conversation-prompt | none | 框架无关
agents-md-skill-layering | none | 框架无关
long-sentence-structurizer | none | 框架无关
